excel_line;subclasses_codes;subclasses_title;classes_codes;classe_title;section_title
6;01.1;Cultures non permanentes;01;Culture et production animale, chasse et services annexes;AGRICULTURE, SYLVICULTURE ET PÊCHE
7;01.11;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;01;Culture et production animale, chasse et services annexes;AGRICULTURE, SYLVICULTURE ET PÊCHE
8;01.11Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;01;Culture et production animale, chasse et services annexes;AGRICULTURE, SYLVICULTURE ET PÊCHE
9;01.12;Culture du riz;01;Culture et production animale, chasse et services annexes;AGRICULTURE, SYLVICULTURE ET PÊCHE
10;01.12Z;Culture du riz;01;Culture et production animale, chasse et services annexes;AGRICULTURE, SYLVICULTURE ET PÊCHE
11;01.13;Culture de légumes, de melons, de racines et de tubercules;01;Culture et production animale, chasse et services annexes;AGRICULTURE, SYLVICULTURE ET PÊCHE
12;01.13Z;Culture de légumes, de melons, de racines et de tubercules;01;Culture et production animale, chasse et services annexes;AGRICULTURE, SYLVICULTURE ET PÊCHE
13;01.14;Culture de la canne à sucre;01;Culture et production animale, chasse et services annexes;AGRICULTURE, SYLVICULTURE ET PÊCHE
14;01.14Z;Culture de la canne à sucre;01;Culture et production animale, chasse et services annexes;AGRICULTURE, SYLVICULTURE ET PÊCHE
15;01.15;Culture du tabac;01;Culture et production animale, chasse et services annexes;AGRICULTURE, SYLVICULTURE ET PÊCHE
16;01.15Z;Culture du tabac;01;Culture et production animale, chasse et services annexes;AGRICULTURE, SYLVICULTURE ET PÊCHE
17;01.16;Culture de plantes à fibres;01;Culture et production animale, chasse et services annexes;AGRICULTURE, SYLVICULTURE ET PÊCHE
18;01.16Z;Culture de plantes à fibres;01;Culture et production animale, chasse et services annexes;AGRICULTURE, SYLVICULTURE ET PÊCHE
19;01.19;Autres cultures non permanentes;01;Culture et production animale, chasse et services annexes;AGRICULTURE, SYLVICULTURE ET PÊCHE
20;01.19Z;Autres cultures non permanentes;01;Culture et production animale, chasse et services annexes;AGRICULTURE, SYLVICULTURE ET PÊCHE
22;01.2;Cultures permanentes;01;Culture et production animale, chasse et services annexes;AGRICULTURE, SYLVICULTURE ET PÊCHE
23;01.21;Culture de la vigne;01;Culture et production animale, chasse et services annexes;AGRICULTURE, SYLVICULTURE ET PÊCHE
